Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
347,6,Myrl Bechtelar MD,Mr,Male,1,Married,24,12/8/1993,\N,Active,\N,\N,\N,Staff,Permanant,Buddhist,Driver,1965
348,33,Francis Mraz,Mr,Male,1,Married,24,3/14/1995,\N,Active,\N,\N,\N,Staff,Permanant,Buddhist,Driver,1973
349,53,Mr Emmet Blick Jr,Mr,Male,1,Married,23,1/27/1988,6/28/2021,Inactive,6/28/2021,\N,\N,Staff,Permanant,Buddhist,Account Clerk,1974
351,77,Mr Nelson Braun PhD,Ms,Female,4,Married,40,10/1/1999,1/31/2022,Inactive,1/31/2022,\N,\N,Staff,Permanant,Catholic,Purchasing Officer,1974
352,88,Maximillian Hand,Mr,Male,1,Married,7,1/26/2001,\N,Active,\N,\N,\N,Staff,Permanant,Buddhist,Store Keeper,1980
353,155,Zena Nicolas,Mr,Male,1,Married,22,9/29/2003,\N,Inactive,8/31/2020,\N,\N,Staff,Permanant,Buddhist,Technical Officer,1962
354,181,Coralie Bernhard,Mr,Male,1,Married,22,11/10/2003,0000-00-00,Active,0000-00-00,945,\N,Staff,Permanant,Buddhist,Technical Officer,1969
355,192,Josh Roob,Mr,Male,1,Married,126,2/16/2004,\N,Active,\N,\N,\N,Staff,Permanant,Buddhist,Project Coordinator ,1981
356,283,Ernest Upton,Ms,Female,1,Single,23,6/1/2005,\N,Active,\N,\N,\N,Staff,Permanant,Buddhist,Account Clerk,1974
359,529,Sydney Oberbrunner,Mr,Male,1,Married,41,7/1/2006,1/31/2022,Inactive,1/31/2022,\N,\N,Staff,Permanant,Buddhist,Electrician,1967
360,573,Angeline Yundt,Mr,Male,1,Married,42,8/29/2006,5/5/2021,Inactive,5/5/2021,\N,\N,Management,Permanant,Buddhist,Transport Officer,1976
361,596,Prof Karlie Bauch III,Mr,Male,3,Single,7,11/1/2006,0000-00-00,Active,0000-00-00,\N,\N,Staff,Permanant,Hindu,Store Keeper,1986
363,691,Leonel Romaguera,Mr,Male,1,Married,24,5/25/2007,5/23/2021,Inactive,5/23/2021,\N,\N,Staff,Permanant,Buddhist,Driver,1975
365,759,Sidney Macejkovic,Mr,Male,1,Married,43,11/12/2007,\N,Inactive,9/10/2020,\N,\N,Staff,Permanant,Buddhist,Operator - JCB,1984
366,900,Prof Jerod Pfeffer,Mr,Male,1,Married,44,11/15/2008,0000-00-00,Inactive,5/21/2020,\N,\N,Staff,Permanant,Buddhist,Driver - Boom,1973
371,1084,Ignatius Volkman DDS,Ms,Female,1,Single,45,8/2/2010,4/30/2021,Inactive,4/30/2021,\N,\N,Management,Contarct Basis,Buddhist,Construction Manager,1963
372,1086,Doyle Hettinger,Mr,Male,1,Married,46,8/5/2010,\N,Inactive,9/27/2020,\N,\N,Staff,Contarct Basis,Buddhist,Operator - Crane,1981
373,1093,Izaiah Berge,Mr,Male,1,Married,35,10/26/2010,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Operator-Excavator,1990
376,1154,Prof Arden Jacobs III,Mr,Male,1,Married,7,3/24/2011,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1961
377,1275,Shaylee Schroeder III,Mr,Male,5,Single,48,11/3/2011,\N,Active,\N,624,\N,Staff,Contarct Basis,Muslim,Draughtsman,1982
378,1290,Raymond Bogan,Mr,Male,1,Married,33,11/21/2011,\N,Inactive,7/28/2020,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1965
379,1329,Kayden Rice,Mr,Male,1,Single,27,1/25/2012,\N,Inactive,6/30/2020,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1991
380,1336,Macey Simonis,Mr,Male,1,Married,24,1/29/2012,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1978
381,1373,Jayde Witting,Mr,Male,5,Married,22,3/17/2012,\N,Active,\N,624,\N,Staff,Contarct Basis,Muslim,Technical Officer,1982
383,1405,Sylvan Gislason,Mr,Male,1,Married,24,5/21/2012,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1994
384,1425,Dr Kennedy Ryan MD,Mr,Male,1,Married,8,6/5/2012,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1989
385,1472,Tillman Greenfelder,Mr,Male,1,Married,49,7/6/2012,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Junior Technical Officer,1986
388,1573,Hanna Wyman,Mr,Male,1,Married,22,11/18/2012,\N,Inactive,3/30/2020,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1989
389,1587,Tessie Fadel,Mr,Male,1,Married,24,12/14/2012,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1994
391,1610,Orval Hessel,Mr,Male,1,Married,37,1/24/2013,\N,Inactive,11/14/2019,\N,\N,Staff,Contarct Basis,Buddhist,Driver-Tractor,1960
392,1620,Katelin Thompson,Mr,Male,5,Married,22,2/5/2013,\N,Active,\N,2709,\N,Staff,Contarct Basis,Muslim,Technical Officer,1989
393,1653,Savanna Spinka,Mr,Male,5,Married,6,4/1/2013,\N,Active,\N,393,\N,Staff,Contarct Basis,Muslim,Project Manager,1965
394,1730,Carley Bogisich,Mr,Male,1,Married,46,6/27/2013,12/17/2021,Inactive,12/17/2021,\N,\N,Staff,Contarct Basis,Buddhist,Operator - Crane,1993
396,1769,Jaquelin Block,Mr,Male,1,Single,67,8/21/2013,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Operator - Loader,1993
399,1870,Garland Feeney,Mr,Male,3,Married,27,1/28/2014,8/31/2021,Inactive,8/31/2021,\N,\N,Staff,Contarct Basis,Hindu,Supervisor,1989
400,1872,Elody Waelchi,Mr,Male,3,Single,27,1/24/2014,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Hindu,Supervisor,1988
401,1888,Nola Grant,Mr,Male,1,Married,7,2/25/2014,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1972
402,1900,Macie Kuvalis,Mr,Male,1,Single,24,2/22/2014,0000-00-00,Inactive,8/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1995
403,2009,Julie Osinski,Mr,Male,1,Married,43,5/3/2014,\N,Inactive,8/28/2020,\N,\N,Staff,Contarct Basis,Buddhist,Operator - JCB,1992
404,2026,Jody Stokes,Mr,Male,1,Single,36,6/4/2014,0000-00-00,Active,0000-00-00,673,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1987
405,2034,Scottie Ratke,Mr,Male,1,,27,6/9/2014,0000-00-00,Inactive,12/5/2019,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,'0000'
407,2151,Braulio Pagac IV,Mr,Male,3,Single,8,9/17/2014,0000-00-00,Inactive,6/22/2020,\N,\N,Staff,Contarct Basis,Hindu,Quantity Surveyor,1990
408,2186,Jon Kuhn,Mr,Male,1,Single,8,10/1/2014,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1990
410,2284,Ally Nikolaus,Mr,Male,1,Single,52,2/5/2015,5/30/2021,Inactive,5/30/2021,\N,\N,Staff,Contarct Basis,Buddhist,Moter Mechanic,1995
411,2301,Jesus Dietrich Sr,Mr,Male,1,Married,24,4/28/2015,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Driver,'0000'
413,2313,Addie Purdy,Mr,Male,1,Single,35,5/1/2015,0000-00-00,Inactive,8/31/2021,\N,\N,Staff,Contarct Basis,Buddhist,Operator-Excavator,1997
414,2333,Noelia Roberts DDS,Mr,Male,3,Single,54,6/2/2016,\N,Inactive,10/6/2020,\N,\N,Staff,Contarct Basis,Hindu,Lab Technician,1985
415,2334,Isabella Brakus,Mr,Male,4,,36,6/1/2015,7/25/2021,Inactive,7/25/2021,\N,\N,Staff,Contarct Basis,Catholic,Engineer Assistant,1982
416,2337,Bo Schaefer I,Mr,Male,3,Married,27,6/1/2015,3/25/2021,Inactive,3/25/2021,\N,\N,Staff,Contarct Basis,Hindu,Supervisor,1986
419,2421,Ms Jany Lemke,Mr,Male,1,Married,22,8/24/2015,5/31/2021,Inactive,5/31/2021,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1988
420,2426,Dr Kieran Bradtke IV,Mr,Male,1,Married,24,9/1/2015,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1995
421,2481,Marcos Kemmer MD,Mr,Male,1,Single,24,1/2/2016,8/31/2022,Inactive,8/31/2022,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1997
422,2488,Burley Willms,Ms,Female,1,Married,8,2/5/2016,4/30/2021,Inactive,4/30/2021,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1981
423,2512,Kaley Ankunding MD,Mr,Male,1,,57,5/12/2016,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Driver - Truck Mixture,1987
424,2513,Rogers Conroy,Mr,Male,1,Single,24,5/26/2016,\N,Inactive,8/31/2021,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1988
425,2647,Alison Price V,Mr,Male,1,Married,38,8/15/2016,8/31/2022,Inactive,8/31/2022,\N,\N,Staff,Contarct Basis,Buddhist,Office Assistant,1965
